id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Paper Planes,Slow Stereo,jazz,relaxed,0.34,88,0.68,0.51,0.90
12,Iron Sprint,Voltline,rock,intense,0.89,148,0.45,0.63,0.12
13,Study Lamp,LoRoom,lofi,focused,0.38,76,0.57,0.59,0.80
14,Neon Highway,Neon Echo,synthwave,moody,0.72,112,0.47,0.71,0.24
15,Morning Bloom,Indigo Parade,indie pop,happy,0.74,120,0.83,0.80,0.38
16,Deep Space Drift,Orbit Bloom,ambient,chill,0.26,58,0.62,0.39,0.94
17,Power Set,Max Pulse,pop,intense,0.94,134,0.79,0.90,0.06
18,Quiet Window,Paper Lanterns,lofi,chill,0.33,70,0.61,0.56,0.88
